name,lat,long,is_minor_mrt,is_major_mrt,passengers
Marsiling,1.4326361,103.7742833,True,False,19854
Dakota,1.308289,103.888253,True,False,7870
Bedok,1.3240389,103.9300361,True,True,30760
Bedok Reservoir,1.33639,103.93306,True,False,7566
Outram Park,1.28056,103.84,True,True,29325
Admiralty,1.4406889,103.8009333,True,False,38020
Chinatown,1.2849,103.84396,True,True,46198
Bugis,1.300194,103.85615,True,True,53016
Kallang,1.3114694,103.8714,True,False,11515
Botanic Gardens,1.322519,103.815406,True,False,6096
Beauty World,1.341133,103.775797,True,True,13081
Bayfront,1.2825,103.85944,True,True,38076
Lavender,1.3071667,103.8630083,True,False,16402
Paya Lebar,1.317767,103.892381,True,True,46030
Kovan,1.360214,103.884864,True,False,19989
Somerset,1.3005139,103.8390278,True,False,29381
Jurong East,1.333415,103.742119,True,True,64034
Sembawang,1.449025,103.8201528,True,False,31026
Tampines,1.3549,103.94399,True,True,48791
Tampines East,1.356429,103.954645,True,False,16105
Eunos,1.31972,103.90306,True,False,14082
Kranji,1.4250472,103.7618528,True,True,27452
Mayflower,1.3724,103.8372,True,False,9368
Yishun,1.4294639,103.8352389,True,True,48649
Jalan Besar,1.305601,103.855294,True,False,9291
Stadium,1.302856,103.875306,True,True,10310
Clarke Quay,1.288708,103.846606,True,False,12505
Orchard,1.30306,103.83139,True,True,59165
Novena,1.3203944,103.8436889,True,False,34023
City Hall,1.29333,103.85222,True,False,42420
Simei,1.3434444,103.9531722,True,False,15721
Yio Chu Kang,1.3819056,103.8448167,True,False,17870
Clementi,1.3153028,103.7652444,True,True,41576
Tanah Merah,1.3273583,103.9463444,True,False,14378
Buangkok,1.3828701,103.8931226,True,False,19010
Redhill,1.2897333,103.81675,True,False,16140
Bencoolen,1.29889,103.85028,True,False,6536
Joo Koon,1.3277389,103.6784861,True,False,14465
Khatib,1.4171667,103.8329,True,False,31459
Marymount,1.349078,103.839492,True,False,6610
Stevens,1.320069,103.825997,True,False,6799
Woodlands South,1.4273,103.7938,True,False,9559
Buona Vista,1.306817,103.790428,True,True,22877
HarbourFront,1.26528,103.82222,True,True,45982
Chinese Garden,1.3425,103.7325,True,False,9982
Dover,1.3113139,103.7786583,True,False,7929
Tai Seng,1.335833,103.887942,True,True,16998
Braddell,1.3403389,103.846725,True,False,13337
Lakeside,1.3445889,103.7211389,True,False,31288
Mountbatten,1.306306,103.882531,True,False,6316
Farrer Park,1.312314,103.854028,True,True,27768
Serangoon,1.3491,103.87358,True,True,51738
Tampines West,1.345595,103.938258,True,False,7831
Tanjong Pagar,1.2764389,103.8457111,True,False,32238
Changi Airport,1.3575,103.98833,True,False,19000
Potong Pasir,1.331161,103.869058,True,False,14014
Rochor,1.3037639,103.8525806,True,False,9422
Commonwealth,1.3025583,103.798225,True,False,11905
Promenade,1.2925,103.86083,True,True,19478
Kent Ridge,1.293383,103.784394,True,True,15993
MacPherson,1.32665,103.890019,True,True,15026
Yew Tee,1.3969861,103.7472389,True,False,27473
Bukit Gombak,1.358702,103.751787,True,False,18519
Toa Payoh,1.33278,103.8475,True,False,32943
Hillview,1.362472,103.767389,True,False,7132
Queenstown,1.2944417,103.8061139,True,False,15262
Tiong Bahru,1.2860806,103.8269583,True,False,22629
Esplanade,1.29333,103.85556,True,False,8711
Dhoby Ghaut,1.2994,103.84504,True,True,30224
Bedok North,1.33639,103.91778,True,False,7032
Raffles Place,1.28389,103.85139,True,True,61098
Expo,1.33528,103.96194,True,True,13515
Kembangan,1.3209833,103.9128417,True,False,9762
Maxwell,1.2803,103.844,True,False,8406
Great World,1.295,103.83333,True,False,6810
Downtown,1.279458,103.852931,True,False,15851
Little India,1.3068002,103.8496471,True,False,27711
Newton,1.312956,103.838442,True,True,50863
Ubi,1.330011,103.899958,True,False,8451
Boon Keng,1.319483,103.861722,True,False,21400
Shenton Way,1.2775,103.8507,True,False,7311
Kaki Bukit,1.334929,103.908976,True,True,10409
Telok Ayer,1.282125,103.848472,True,False,12776
Canberra,1.44306,103.82972,True,False,15240
Woodleigh,1.33917,103.87083,True,False,11844
Holland Village,1.312078,103.796208,True,False,8688
Bishan,1.351236,103.848456,True,True,37275
one-north,1.299331,103.787067,True,False,12332
Bukit Batok,1.349073,103.749664,True,False,25059
Boon Lay,1.33861,103.70583,True,True,41195
Pioneer,1.3375778,103.6972167,True,False,27013
Havelock,1.2877,103.8337,True,False,6219
Hougang,1.371292,103.892161,True,True,28153
Aljunied,1.3164417,103.8829806,True,False,21402
Haw Par Villa,1.28278,103.78167,True,False,6188
Pasir Ris,1.3724111,103.9493694,True,True,27307
Ang Mo Kio,1.3700167,103.84945,True,True,39720
Woodlands,1.4370944,103.7864833,True,True,51051
Upper Thomson,1.3542,103.8332,True,False,8878
Sengkang,1.391975,103.8949556,True,True,39617
Punggol,1.40528,103.9025,True,False,38929
Bukit Panjang,1.378436,103.761767,True,False,36263
Choa Chu Kang,1.385092,103.744322,True,True,33588
