name,station_code,lat,long,is_opened,passengers
Hong Kah,JS4,1.35795,103.72586,False,-1
Marsiling,NS8,1.4326361,103.7742833,True,19854
Dakota,CC8,1.308289,103.888253,True,7870
Bedok,EW5,1.3240389,103.9300361,True,30760
Bedok Reservoir,DT30,1.33639,103.93306,True,7566
Aviation Park,CR2,1.36989,104.00314,False,-1
Outram Park,"EW16 NE3 TE17",1.28056,103.84000,True,29325
Admiralty,NS10,1.4406889,103.8009333,True,38020
Bayshore,TE29,1.314712,103.943717,True,0
King Albert Park,"DT6 CR15",1.33583,103.78361,True,5658
Tuas West Road,EW32,1.330056,103.639611,True,4968
Chinatown,"NE4 DT19",1.2849,103.84396,True,46198
Bugis,"EW12 DT14",1.300194,103.85615,True,53016
Tengah,JS3,1.36633,103.73007,False,-1
Kallang,EW10,1.3114694,103.8714000,True,11515
Botanic Gardens,"CC19 DT9",1.322519,103.815406,True,6096
Jurong Lake District,CR19,1.327245,103.739080,False,-1
Beauty World,DT5,1.341133,103.775797,True,13081
Tanjong Katong,TE25,1.2992,103.89769,True,0
Bayfront,"CE1 DT16",1.28250,103.85944,True,38076
Lavender,EW11,1.3071667,103.8630083,True,16402
Paya Lebar,"EW8 CC9",1.317767,103.892381,True,46030
Marina Bay,"NS27 CE2 TE20",1.27528,103.85472,True,5371
Kovan,NE13,1.360214,103.884864,True,19989
Founders' Memorial,TE22A,1.2912,103.869229,False,-1
Xilin,DT36,1.3289,103.9649,False,-1
Somerset,NS23,1.3005139,103.8390278,True,29381
Upper Changi,DT34,1.3419,103.9614,True,4562
Tawas,JW2,1.35056,103.69185,False,-1
Bendemeer,DT23,1.3135953,103.8630402,True,4219
Jurong East,"NS1 EW24 JE5",1.333415,103.742119,True,64034
Sembawang,NS11,1.4490250,103.8201528,True,31026
Gardens by the Bay,TE22,1.2783,103.8680,True,3692
Tampines,"EW2 DT32",1.3549,103.94399,True,48791
Punggol Coast,NE18,1.41528,103.91111,True,0
Tampines East,DT33,1.356429,103.954645,True,16105
Eunos,EW7,1.31972,103.90306,True,14082
Tanjong Rhu,TE23,1.29726,103.87345,True,0
Bahar Junction,JS7,1.3454222,103.7025417,False,-1
Tuas Link,EW33,1.34028,103.636806,True,4981
Jurong West,JS6,1.34919,103.70831,False,-1
Kranji,NS7,1.4250472,103.7618528,True,27452
Mayflower,TE6,1.3724,103.8372,True,9368
Tan Kah Kee,DT8,1.32611,103.80722,True,3405
Yishun,NS13,1.4294639,103.8352389,True,48649
Tavistock,CR10,1.37004,103.86328,False,-1
Jalan Besar,DT22,1.305601,103.855294,True,9291
Stadium,CC6,1.302856,103.875306,True,10310
Clarke Quay,NE5,1.288708,103.846606,True,12505
Orchard,"NS22 TE14",1.30306,103.83139,True,59165
Prince Edward Road,CC32,1.273254,103.847298,False,-1
Novena,NS20,1.3203944,103.8436889,True,34023
City Hall,"NS25 EW13",1.29333,103.85222,True,42420
Simei,EW3,1.3434444,103.9531722,True,15721
Tengah Park,JE2,1.35235,103.73679,False,-1
Yio Chu Kang,NS15,1.3819056,103.8448167,True,17870
Mount Pleasant,TE10,1.3287,103.8356,False,-1
